FarRight_2-2016,Immigration,undocumented immigrants inside United States,"immigration processes, misc inside United States",0.0,0.0
FarRight_2-2016,Immigration,undocumented immigrants inside United States,"immigrat, refugee, border, misc",0.0,0.6666666666666666
FarRight_2-2016,Immigration,undocumented immigrants inside United States,1,0.16666666666666666,0.0
FarRight_2-2016,Immigration,undocumented immigrants inside United States,"immigration processes, misc inside US",-0.16666666666666666,-0.3333333333333333
FarRight_2-2016,Immigration,undocumented immigrants inside United States,many immigrants inside US,1.0,1.0
FarRight_2-2016,Immigration,undocumented immigrants inside United States,no text,0.16666666666666666,-1.0
FarRight_2-2016,Immigration,undocumented immigrants inside United States,no text,1.0,-1.0
FarRight_2-2016,Immigration,"migrants move, are paid by govt, seek shelter","migrants are vicitms of state violence, refugees",1.0,1.0
FarRight_2-2016,Immigration,mass migration from_ Middle East,migrants from_ middle east,0.0,0.0
FarRight_2-2016,Immigration,migrants newly arrived,"migrants commit violence, depend on government, vote",0.16666666666666666,0.5
FarRight_2-2016,Islamophobia,muslimg part of american society,"islamophobia, legal processes for_ muslims",-0.16666666666666666,-0.16666666666666666
FarRight_2-2016,Islamophobia,muslimg part of american society,muslims extremists organizing and_ ideology,-0.16666666666666666,0.0
FarRight_2-2016,Anti-semitism,"many people, jewish, american palestinian","jewish, syrian, american people",0.5,0.5
FarRight_2-2017,Islamophobia,hijab banned,"hijab celebration, requirement",-0.5,-0.3333333333333333
FarRight_2-2017,Anti-semitism,intense scrutiny,unable to derive meaning,-1.0,-0.16666666666666666
