"Top Puller By Year, Partisan: no_sent/cosine_97/30"
Year,Absolute,Relative
FarRight_2-2016,Breitbart,fairus.org
FarRight_2-2017,HeatStreet,HeatStreet
FarRight_2-2018,Natural News,fairus.org
FarRight_2-2019,Breitbart,revolutionradio.org
