"Top Puller By Year, Center: no_sent/cosine_97/30"
Year,Absolute,Relative
FarRight_2-2016,Haaretz,Spiegel
FarRight_2-2017,ruvr-fi,International Centre for Investigative Reporting
FarRight_2-2018,PR Newswire,sheboyganpress.com
FarRight_2-2019,Reason,kvoa.com
