"Top Puller By Year, Center: no_sent/cosine_97/20"
Year,Absolute,Relative
FarRight_2-2016,Haaretz,Spiegel
FarRight_2-2017,ruvr-fi,denver.cbslocal.com
FarRight_2-2018,floridapolitics.com,dailytimes.com.pk
FarRight_2-2019,unz.com,unz.com
