Immigration,,
,Marginal,
,,America,18
,,Muslim,16
,,United States,13
,,German,11
,,Obama,10
,Direct,
,,Walton,2
,,Israel,2
,,Super Bowl,2
,,FUCK TOM BRADY,2
,,Omar,2
,Peripheral,
,,GOP Senate,1
,,J.D. Vance,1
,,Middle Eastern,1
Islamophobia,,
,Marginal,
,,Sunni,10
,,American,9
,,Americans,6
,,student,6
,,muslim,6
,Direct,
,,Christianity,1
,,Sunni Muslim,1
,,Iraq,1
,,Khairullah,1
,,Lee Zeldin,1
,Peripheral,
,,non-Muslims,1
,,non-Muslim,1
Anti-semitism,,
,Marginal,
,,jew,8
,,president,6
,,Christians,5
,,France,4
,,Trump,4
,Direct,
,,Polish,4
,,Landsmannschaften,2
,,leader,2
,,German,2
,,buyer,2
,Peripheral,
Transphobia,,
,Marginal,
,,Californians,2
,,student,2
,,teacher,2
,,New York Times,1
,,Afghan,1
,Direct,
,Peripheral,
