Immigration,,
,Right,,
,,America,18
,,Muslim,16
,,United States,13
,,German,11
,,Obama,10
,Center,,
,,Omar,4
,,Gonzaga,4
,,LeBron,4
,,Bank Ltd,4
,,Mudashiru Obasa-led,4
,Left,,
,,Super Bowl,2
,,FUCK TOM BRADY,2
,,Prashant Bhushan,1
,,Addiego,1
Islamophobia,,
,Right,,
,,Sunni,10
,,American,9
,,Americans,6
,,student,6
,,muslim,6
,Center,,
,,Mohan Bhagwat,2
,,Minister,2
,,SCCL BJP,2
,,Joshua,2
,,Miller,2
,Left,,
Anti-semitism,,
,Right,,
,,jew,8
,,president,6
,,Christians,5
,,Ilhan Omar,5
,,France,4
,Center,,
,,Landsmannschaften,4
,,leader,3
,,Reinhard Schramm,2
,,Theological,2
,,the Jewish State,2
,Left,,
,,Keene,1
,,Meg Keene,1
,,founder,1
,,she,1
,,Merrit Kennedy Jewish,1
Transphobia,,
,Right,,
,,Californians,2
,,student,2
,,teacher,2
,,New York Times,1
,,Afghan,1
,Center,,
,Left,,
