Immigration,,
,Marginal,
,,Trump,41
,,his,36
,,President,22
,,U.S.,19
,,America,18
,Direct,
,,Trump,5
,,US,5
,,Syrian,4
,,his,4
,,African,3
,Peripheral,
,,GOP Senate,1
,,J.D. Vance,1
,,White House,1
,,Middle Eastern,1
,,UAE,1
Islamophobia,,
,Marginal,
,,Muslim,109
,,Muslims,102
,,Islam,90
,,Islamists,12
,,Sunni,10
,Direct,
,,Muslim,9
,,Muslims,3
,,Islam,2
,,President,2
,,Islamists,2
,Peripheral,
,,Islam,1
,,non-Muslims,1
,,Muslims,1
,,non-Muslim,1
,,Muslim,1
Anti-semitism,,
,Marginal,
,,Jews,200
,,Jewish,137
,,Jew,54
,,Judaism,15
,,Israel,11
,Direct,
,,Jewish,27
,,Jews,16
,,Polish,4
,,Palestinians,4
,,Israel,3
,Peripheral,
Transphobia,,
,Marginal,
,,Californians,2
,,student,2
,,teacher,2
,,New York Times,1
,,Afghan,1
,Direct,
,Peripheral,
