Immigration,,
,Right,,
,,his,22
,,Trump,21
,,Muslim,18
,,Americans,15
,,U.S.,12
,Center,,
,,Refugee Council,6
,,US,6
,,his,6
,,Chinese,6
,,Trump,5
,Left,,
,,Trump,2
,,he,2
,,European,2
,,her,2
,,Syrian,2
Islamophobia,,
,Right,,
,,Muslim,76
,,Muslims,71
,,Islam,58
,,Islamists,10
,,Sunni,9
,Center,,
,,Muslims,6
,,Muslim,4
,,Sunni,2
,,Kurdish,2
,,Islam,2
,Left,,
,,Muslim,1
Anti-semitism,,
,Right,,
,,Jews,125
,,Jewish,96
,,Jew,41
,,politician,10
,,jew,9
,Center,,
,,Jewish,10
,,Jews,5
,,Israeli,4
,,French,3
,,Jewish-only,2
,Left,,
,,Jewish,3
,,Jews,2
,,American,1
,,He,1
,,Palestinians,1
Transphobia,,
,Right,,
,,Californians,2
,,student,2
,,her,2
,,teacher,2
,,Warren,1
,Center,,
,Left,,
