Keyword,FR1,FS1
migrant,Kelly 2013 immigration bill,second toughened penalties
migration,illegal immigrants,illegal
immigration,illegal immigrants,illegal
immigrants,Kelly 2013 immigration bill,second toughened penalties
immigrant,Kelly 2013 immigration bill,second toughened penalties
migrants,Kelly 2013 immigration bill,second toughened penalties
illegal immigrants,Kelly 2013 immigration bill,second toughened penalties
refugees,Syria,Muslim
refugee,Syria,Muslim
visa,Rubio ’s 2015 immigration bill,valid
jihad,four Americans,
jihadi,four Americans,
jihadists,four Americans,
jihadist,four Americans,
