Immigration,,
,Right,,
,,Trump,42
,,his,37
,,President,22
,,U.S.,19
,,America,18
,Center,,
,,Trump,7
,,African,5
,,Customs Enforcement,5
,,Omar,4
,,Gonzaga,4
,Left,,
,,Super Bowl,2
,,FUCK TOM BRADY,2
,,Americans,1
,,Cuban,1
,,Prashant Bhushan,1
Islamophobia,,
,Right,,
,,Muslim,111
,,Muslims,102
,,Islam,90
,,Islamists,13
,,Sunni,10
,Center,,
,,Muslim,11
,,Muslims,7
,,Islam,5
,,he,4
,,his,4
,Left,,
,,Muslim,2
,,president,1
Anti-semitism,,
,Right,,
,,Jews,204
,,Jewish,141
,,Jew,54
,,Judaism,15
,,Israel,12
,Center,,
,,Jewish,28
,,Jews,17
,,Palestinians,6
,,Landsmannschaften,4
,,Israel,4
,Left,,
,,Jewish,6
,,Germany,2
,,Jews,2
,,her,1
,,Keene,1
Transphobia,,
,Right,,
,,Californians,2
,,student,2
,,teacher,2
,,New York Times,1
,,Afghan,1
,Center,,
,Left,,
