Dataset,Topic,Entity,Frequency
FarRight_2-2016,Immigration,India,1
FarRight_2-2016,Immigration,President,21
FarRight_2-2016,Immigration,Donald Trump,22
FarRight_2-2016,Immigration,his,14
FarRight_2-2016,Immigration,marine,1
FarRight_2-2016,Immigration,U.S.,42
FarRight_2-2016,Immigration,American,8
FarRight_2-2016,Immigration,Miss,1
FarRight_2-2016,Immigration,Ocasio-Cortez,4
FarRight_2-2016,Immigration,president,5
FarRight_2-2016,Immigration,judge,2
FarRight_2-2016,Immigration,Australian,1
FarRight_2-2016,Immigration,Merkel,2
FarRight_2-2016,Immigration,Sinaloa Cartel,3
FarRight_2-2016,Immigration,El Salvador,1
FarRight_2-2016,Immigration,U.S,1
FarRight_2-2016,Immigration,Canada,2
FarRight_2-2016,Immigration,African,4
FarRight_2-2016,Immigration,Asian,2
FarRight_2-2016,Immigration,mobile,1
FarRight_2-2016,Immigration,Hull,1
FarRight_2-2016,Immigration,Falcons,1
FarRight_2-2016,Immigration,NFC,1
FarRight_2-2016,Immigration,California,1
FarRight_2-2016,Immigration,Samsung Electronics,1
FarRight_2-2016,Immigration,AHL,1
FarRight_2-2016,Immigration,Chile,1
FarRight_2-2016,Immigration,Mastercard,1
FarRight_2-2016,Immigration,University of Southern California,1
FarRight_2-2016,Immigration,Urman,1
FarRight_2-2016,Immigration,Deputy Chairman,1
FarRight_2-2016,Immigration,Bangladesh,2
FarRight_2-2016,Immigration,Colombian,2
FarRight_2-2016,Immigration,He,2
FarRight_2-2016,Immigration,EU,4
FarRight_2-2016,Immigration,Trump,25
FarRight_2-2016,Immigration,Syrian,26
FarRight_2-2016,Immigration,executive,7
FarRight_2-2016,Immigration,ALEK SKARLATOS,2
FarRight_2-2016,Immigration,Cheng,2
FarRight_2-2016,Immigration,Arctic,2
FarRight_2-2016,Immigration,Rep.,2
FarRight_2-2016,Immigration,Alexandria Ocasio-Cortez,2
FarRight_2-2016,Immigration,starter,2
FarRight_2-2016,Immigration,Kristaps Porzingis,2
FarRight_2-2016,Immigration,Dennis Smith Jr.,2
FarRight_2-2016,Immigration,Mueller,1
FarRight_2-2016,Immigration,Israeli,2
FarRight_2-2016,Immigration,Indian American,1
FarRight_2-2016,Immigration,Iraq,1
FarRight_2-2016,Immigration,China,1
FarRight_2-2016,Immigration,U.S. Embassy,1
FarRight_2-2016,Immigration,Yemen,3
FarRight_2-2016,Immigration,S.E. Smith,1
FarRight_2-2016,Immigration,ambassador,1
FarRight_2-2016,Immigration,Kim,1
FarRight_2-2016,Immigration,Berkeley,1
FarRight_2-2016,Immigration,attorney,2
FarRight_2-2016,Immigration,Julie Goldberg,1
FarRight_2-2016,Immigration,Office of Refugee Resettlement,2
FarRight_2-2016,Immigration,Syria,3
FarRight_2-2016,Immigration,Customs Enforcement,1
FarRight_2-2016,Immigration,Nicholas Espiritu,1
FarRight_2-2016,Immigration,Jeff Jacoby,5
FarRight_2-2016,Immigration,All-Democratic,5
FarRight_2-2016,Immigration,"Rich Lowry
Biden",5
FarRight_2-2016,Immigration,Somali,4
FarRight_2-2016,Immigration,Iraqi,3
FarRight_2-2016,Immigration,minister,1
FarRight_2-2016,Immigration,Obama,1
FarRight_2-2016,Immigration,Muslim,3
FarRight_2-2016,Immigration,Supreme Court,1
FarRight_2-2016,Immigration,Russia,2
FarRight_2-2016,Immigration,FCO,1
FarRight_2-2016,Immigration,Palestinian,2
FarRight_2-2016,Immigration,Lebanon,1
FarRight_2-2016,Immigration,Xavier,1
FarRight_2-2016,Immigration,operator,1
FarRight_2-2016,Immigration,iHeartCommunications Inc.,1
FarRight_2-2016,Immigration,US,3
FarRight_2-2016,Immigration,English-speaking,1
FarRight_2-2016,Immigration,Mattis,2
FarRight_2-2016,Immigration,Democrat,1
FarRight_2-2016,Immigration,Interior’s Bureau of Land Management,1
FarRight_2-2016,Immigration,Atlanta Fed,1
FarRight_2-2016,Immigration,New York Times,1
FarRight_2-2016,Immigration,he,1
FarRight_2-2016,Immigration,England,1
FarRight_2-2016,Immigration,Turkey,9
FarRight_2-2016,Immigration,U.S. Citizenship and Immigration Services,1
FarRight_2-2016,Immigration,USCIS,2
FarRight_2-2016,Immigration,student,1
FarRight_2-2016,Immigration,Booker,2
FarRight_2-2016,Immigration,Senate,1
FarRight_2-2016,Immigration,Amtrak,1
FarRight_2-2016,Immigration,Senator,1
FarRight_2-2016,Immigration,Marco Rubio,1
FarRight_2-2016,Immigration,Iran,1
FarRight_2-2016,Immigration,Open,1
FarRight_2-2016,Immigration,Caller,1
FarRight_2-2016,Immigration,9th U.S. Circuit Court of Appeals,1
FarRight_2-2016,Immigration,Maine,1
FarRight_2-2016,Immigration,Mufti,1
FarRight_2-2016,Immigration,Mexico,1
FarRight_2-2016,Immigration,European,1
FarRight_2-2016,Immigration,Mexican,4
FarRight_2-2016,Immigration,Boochani,1
FarRight_2-2016,Immigration,Hadi Hassan,1
FarRight_2-2016,Immigration,America,2
FarRight_2-2016,Immigration,Utah,1
FarRight_2-2016,Immigration,Muslim-majority,2
FarRight_2-2016,Immigration,Washington,1
FarRight_2-2016,Immigration,Attorney General,1
FarRight_2-2016,Immigration,Bob Ferguson,1
FarRight_2-2016,Immigration,Speaker,1
FarRight_2-2016,Immigration,Paul Ryan,1
FarRight_2-2016,Immigration,Donald J. Trump,1
FarRight_2-2016,Immigration,Palpatine,1
FarRight_2-2016,Immigration,Steve Bannon,1
FarRight_2-2016,Immigration,"EU                        

                            Trump",1
FarRight_2-2016,Immigration,Germany,1
FarRight_2-2016,Immigration,David Schaper,1
FarRight_2-2016,Immigration,Executive,1
FarRight_2-2016,Immigration,education secretary,1
FarRight_2-2016,Immigration,Department of Homeland Security,2
FarRight_2-2016,Immigration,Sex Trade U.S. Immigration and Customs Enforcement,1
FarRight_2-2016,Immigration,Santa Clarita Diet,1
FarRight_2-2016,Immigration,Barrymore,1
FarRight_2-2016,Immigration,Timothy Olyphant,1
FarRight_2-2016,Immigration,Noah,2
FarRight_2-2016,Immigration,Miley Cyrus,1
FarRight_2-2016,Immigration,Kellyanne Conway,1
FarRight_2-2016,Immigration,Council,1
FarRight_2-2016,Immigration,U.N.,1
FarRight_2-2016,Immigration,Barack Obama,1
FarRight_2-2016,Immigration,U.S. Food and Drug Administration,1
FarRight_2-2016,Immigration,FDA,2
FarRight_2-2016,Immigration,Hayward,1
FarRight_2-2016,Immigration,tier,1
FarRight_2-2016,Immigration,Farmers,1
FarRight_2-2016,Immigration,Iraqis,1
FarRight_2-2016,Immigration,her,1
FarRight_2-2016,Immigration,Tiffany Haddish,2
FarRight_2-2016,Immigration,Hassan Rouhani,1
FarRight_2-2016,Immigration,John McCallum,1
FarRight_2-2016,Immigration,immigration minister,1
FarRight_2-2016,Immigration,PTI,1
FarRight_2-2016,Immigration,National Assembly,1
FarRight_2-2016,Immigration,NA,1
FarRight_2-2016,Immigration,Getty,1
FarRight_2-2016,Immigration,NFL,1
FarRight_2-2016,Immigration,Roger Goodell,1
FarRight_2-2016,Immigration,Yonhap,2
FarRight_2-2016,Islamophobia,Trump,5
FarRight_2-2016,Islamophobia,Muslim,17
FarRight_2-2016,Islamophobia,United States,2
FarRight_2-2016,Islamophobia,U.S. Federal Reserve,1
FarRight_2-2016,Islamophobia,congresswoman,3
FarRight_2-2016,Islamophobia,UK,4
FarRight_2-2016,Islamophobia,majority-Muslim,1
FarRight_2-2016,Islamophobia,Muslims,6
FarRight_2-2016,Islamophobia,Iranian,12
FarRight_2-2016,Islamophobia,President,1
FarRight_2-2016,Islamophobia,predominantly Muslim,2
FarRight_2-2016,Islamophobia,Yusef Hagi Ahmed,1
FarRight_2-2016,Islamophobia,Taliban,1
FarRight_2-2016,Islamophobia,World Hijab,2
FarRight_2-2016,Islamophobia,Germany,3
FarRight_2-2016,Islamophobia,Islamists,6
FarRight_2-2016,Islamophobia,Walid Shoebat Trump,1
FarRight_2-2016,Islamophobia,Islam,27
FarRight_2-2016,Islamophobia,cult,2
FarRight_2-2016,Islamophobia,Doctrine,1
FarRight_2-2016,Islamophobia,Rohingya Muslims,4
FarRight_2-2016,Islamophobia,her,6
FarRight_2-2016,Islamophobia,Super Bowl,2
FarRight_2-2016,Islamophobia,his,2
FarRight_2-2016,Islamophobia,Eli Gilbert,1
FarRight_2-2016,Islamophobia,Jenna Learned,1
FarRight_2-2016,Islamophobia,islam,1
FarRight_2-2016,Islamophobia,founder,1
FarRight_2-2016,Islamophobia,Muhammad,1
FarRight_2-2016,Islamophobia,author,1
FarRight_2-2016,Islamophobia,Javier Zarracina,1
FarRight_2-2016,Islamophobia,Nigeria,1
FarRight_2-2016,Islamophobia,Amsterdam University,1
FarRight_2-2016,Islamophobia,Nation of Islam,1
FarRight_2-2016,Islamophobia,Haqqani Network,3
FarRight_2-2016,Islamophobia,Isis,3
FarRight_2-2016,Islamophobia,Muhammad Morsi,1
FarRight_2-2016,Islamophobia,African-American,1
FarRight_2-2016,Islamophobia,African American,4
FarRight_2-2016,Islamophobia,American,1
FarRight_2-2016,Islamophobia,candidate,1
FarRight_2-2016,Anti-semitism,Jewish,376
FarRight_2-2016,Anti-semitism,Jews,66
FarRight_2-2016,Anti-semitism,Post,1
FarRight_2-2016,Anti-semitism,anti-Semitic,20
FarRight_2-2016,Anti-semitism,Hitler,1
FarRight_2-2016,Anti-semitism,Christ,1
FarRight_2-2016,Anti-semitism,Indiana,1
FarRight_2-2016,Anti-semitism,She,1
FarRight_2-2016,Anti-semitism,Americans,8
FarRight_2-2016,Anti-semitism,her,3
FarRight_2-2016,Anti-semitism,U.S.,10
FarRight_2-2016,Anti-semitism,U.S. Supreme Court,1
FarRight_2-2016,Anti-semitism,FCC,1
FarRight_2-2016,Anti-semitism,Congress,5
FarRight_2-2016,Anti-semitism,U.K. Labour Party,3
FarRight_2-2016,Anti-semitism,leader,7
FarRight_2-2016,Anti-semitism,Jeremy Corbyn,3
FarRight_2-2016,Anti-semitism,he,8
FarRight_2-2016,Anti-semitism,Israel,4
FarRight_2-2016,Anti-semitism,Greenblatt,6
FarRight_2-2016,Anti-semitism,Economic Justice,3
FarRight_2-2016,Anti-semitism,politician,3
FarRight_2-2016,Anti-semitism,Jew,12
FarRight_2-2016,Anti-semitism,Satanic,4
FarRight_2-2016,Anti-semitism,the Jewish state,2
FarRight_2-2016,Anti-semitism,Anti-Defamation League,1
FarRight_2-2016,Anti-semitism,Michigan,1
FarRight_2-2016,Anti-semitism,Rep.,2
FarRight_2-2016,Anti-semitism,Rashida Tlaib,1
FarRight_2-2016,Anti-semitism,United Nations World Conference Against Racism,1
FarRight_2-2016,Anti-semitism,anti-American,1
FarRight_2-2016,Anti-semitism,Mayor,1
FarRight_2-2016,Anti-semitism,Eric Garcetti,1
FarRight_2-2016,Anti-semitism,Skid Row,1
FarRight_2-2016,Anti-semitism,chairman Rep.,1
FarRight_2-2016,Anti-semitism,Ted Deutch,1
FarRight_2-2016,Anti-semitism,Kenny Marchant,1
FarRight_2-2016,Anti-semitism,PSM,1
FarRight_2-2016,Anti-semitism,student,1
FarRight_2-2016,Anti-semitism,JUSSIE SMOLLETT,1
FarRight_2-2016,Anti-semitism,Corbyn,2
FarRight_2-2016,Anti-semitism,Israelis,2
FarRight_2-2016,Anti-semitism,Olympic Games,2
FarRight_2-2016,Anti-semitism,his,9
FarRight_2-2016,Anti-semitism,Israeli,2
FarRight_2-2016,Anti-semitism,Prime Minister,2
FarRight_2-2016,Anti-semitism,Benjamin Netanyahu,2
FarRight_2-2016,Anti-semitism,Indonesia,1
FarRight_2-2016,Anti-semitism,Texas,1
FarRight_2-2016,Anti-semitism,Mexico,1
FarRight_2-2016,Anti-semitism,Arab,1
FarRight_2-2016,Anti-semitism,French,16
FarRight_2-2016,Anti-semitism,President,3
FarRight_2-2016,Anti-semitism,Emmanuel Macron,2
FarRight_2-2016,Anti-semitism,France,1
FarRight_2-2016,Anti-semitism,Melissa Plotkin,1
FarRight_2-2016,Anti-semitism,spokeswoman,1
FarRight_2-2016,Anti-semitism,York Jewish Community Center,1
FarRight_2-2016,Anti-semitism,president,1
FarRight_2-2016,Anti-semitism,Kirsten Gillibrand,1
FarRight_2-2016,Anti-semitism,Brian Avery,2
FarRight_2-2016,Anti-semitism,American,2
FarRight_2-2016,Anti-semitism,anti-Russian,2
FarRight_2-2016,Anti-semitism,Sarsour,2
FarRight_2-2016,Anti-semitism,congresswoman,2
FarRight_2-2016,Anti-semitism,Russia,1
FarRight_2-2016,Anti-semitism,Maduro,1
FarRight_2-2016,Anti-semitism,James Petty,1
FarRight_2-2016,Anti-semitism,Democratic Party,1
FarRight_2-2016,Anti-semitism,Smollett,1
FarRight_2-2016,Anti-semitism,actor,1
FarRight_2-2016,Anti-semitism,Syrian,1
FarRight_2-2016,Anti-semitism,the Jewish State,1
FarRight_2-2016,Anti-semitism,Red Ice Radio,1
