Dataset,Topic,Entity,Frequency
FarRight_2-2016,Anti-semitism,NBC,2
FarRight_2-2016,Anti-semitism,Jewish Telegraphic Agency,2
FarRight_2-2016,Anti-semitism,Anti-Semitic,2
FarRight_2-2016,Anti-semitism,Ames Friedman,1
FarRight_2-2016,Anti-semitism,PR,1
FarRight_2-2016,Anti-semitism,executive,1
FarRight_2-2016,Anti-semitism,New York,4
FarRight_2-2016,Anti-semitism,UK,1
FarRight_2-2016,Anti-semitism,communications director,1
FarRight_2-2016,Anti-semitism,Jewish Community Relations Council of Minnesota,1
FarRight_2-2016,Anti-semitism,Lazaruses,3
FarRight_2-2016,Anti-semitism,independent,1
FarRight_2-2016,Anti-semitism,Peace,3
FarRight_2-2016,Anti-semitism,Massachusetts,6
FarRight_2-2016,Anti-semitism,Elizabeth Warren,6
FarRight_2-2016,Anti-semitism,Booker,6
FarRight_2-2016,Anti-semitism,IPL,3
FarRight_2-2016,Anti-semitism,AVEO Pharma,3
FarRight_2-2016,Anti-semitism,NDA,3
FarRight_2-2016,Anti-semitism,Teva,3
FarRight_2-2016,Anti-semitism,Mylan NV,3
FarRight_2-2016,Anti-semitism,Jonas Jerebko,4
FarRight_2-2016,Anti-semitism,Celine,4
FarRight_2-2016,Anti-semitism,Trump,2
FarRight_2-2016,Anti-semitism,Envoy,2
FarRight_2-2016,Anti-semitism,Zalmay Khalilzad,2
FarRight_2-2016,Anti-semitism,Taliban,2
FarRight_2-2016,Anti-semitism,presenter,2
FarRight_2-2016,Anti-semitism,Twitter,2
FarRight_2-2016,Anti-semitism,The Times,2
FarRight_2-2016,Anti-semitism,Japan,4
FarRight_2-2016,Anti-semitism,Steven Murdoch,2
FarRight_2-2016,Anti-semitism,architect,2
FarRight_2-2016,Anti-semitism,specialist,2
FarRight_2-2016,Anti-semitism,Ashkenazi Jews,2
FarRight_2-2016,Anti-semitism,He,4
FarRight_2-2016,Anti-semitism,Inspire Medical Systems Inc.,2
FarRight_2-2016,Anti-semitism,Chevron,2
FarRight_2-2016,Anti-semitism,Committee,1
FarRight_2-2016,Anti-semitism,composer,1
FarRight_2-2016,Anti-semitism,NASA,2
FarRight_2-2016,Anti-semitism,Clarence,1
FarRight_2-2016,Anti-semitism,"Banco Bilbao Vizcaya Argentaria SA 
        BBVA",2
FarRight_2-2016,Anti-semitism,Spanish,2
FarRight_2-2016,Anti-semitism,Novo Nordisk,2
FarRight_2-2016,Anti-semitism,Jason Roy,2
FarRight_2-2016,Anti-semitism,Jewish Community Relations Council,1
FarRight_2-2016,Anti-semitism,Muslim,2
FarRight_2-2016,Anti-semitism,Naftali Bennett,1
FarRight_2-2016,Anti-semitism,Italy,1
FarRight_2-2016,Anti-semitism,host,2
FarRight_2-2016,Anti-semitism,California,2
FarRight_2-2016,Anti-semitism,Egyptian,2
FarRight_2-2016,Anti-semitism,Chinese,1
FarRight_2-2017,Immigration,England,1
FarRight_2-2017,Immigration,incoming,1
FarRight_2-2017,Immigration,Customs,1
FarRight_2-2017,Immigration,Lahren,2
FarRight_2-2017,Immigration,Dawn Adams,2
FarRight_2-2017,Immigration,Virginia,2
FarRight_2-2017,Immigration,her,2
FarRight_2-2017,Immigration,Colin Kaepernick,1
FarRight_2-2017,Immigration,Fox Nation,1
FarRight_2-2017,Immigration,host,1
FarRight_2-2017,Immigration,UK,1
FarRight_2-2017,Immigration,EU,1
FarRight_2-2017,Immigration,Syrian,2
FarRight_2-2017,Immigration,Mexican,2
FarRight_2-2017,Immigration,judge,1
FarRight_2-2017,Immigration,Customs Enforcement,1
FarRight_2-2017,Immigration,America,1
FarRight_2-2017,Immigration,Georgian,1
FarRight_2-2017,Immigration,Zachary Stieber,2
FarRight_2-2017,Immigration,U.S.,2
FarRight_2-2017,Transphobia,student,1
FarRight_2-2017,Transphobia,Afghan,1
FarRight_2-2017,Islamophobia,Ayan Hirsi Ali,1
FarRight_2-2017,Islamophobia,critic,1
FarRight_2-2017,Islamophobia,Islam,3
FarRight_2-2017,Islamophobia,Joram van Klaveren,1
FarRight_2-2017,Islamophobia,jihadi,1
FarRight_2-2017,Islamophobia,British,1
FarRight_2-2017,Islamophobia,Chinese,1
FarRight_2-2017,Anti-semitism,Ilhan Omar,2
FarRight_2-2017,Anti-semitism,Melissa Plotkin,1
FarRight_2-2017,Anti-semitism,spokeswoman,1
FarRight_2-2017,Anti-semitism,York Jewish Community Center,1
FarRight_2-2017,Anti-semitism,Poles,2
FarRight_2-2017,Anti-semitism,Jewish,1
FarRight_2-2018,Immigration,Iranian,2
FarRight_2-2018,Immigration,French,6
FarRight_2-2018,Immigration,EU,1
FarRight_2-2018,Immigration,Trump,1
FarRight_2-2018,Immigration,his,2
FarRight_2-2018,Immigration,Syrian,4
FarRight_2-2018,Immigration,executive,1
FarRight_2-2018,Immigration,president,1
FarRight_2-2018,Immigration,Donald Trump,1
FarRight_2-2018,Immigration,ALEK SKARLATOS,1
FarRight_2-2018,Immigration,Cheng,1
FarRight_2-2018,Immigration,Arctic,1
FarRight_2-2018,Immigration,Rep.,1
FarRight_2-2018,Immigration,Alexandria Ocasio-Cortez,1
FarRight_2-2018,Immigration,starter,1
FarRight_2-2018,Immigration,Kristaps Porzingis,1
FarRight_2-2018,Immigration,Dennis Smith Jr.,1
FarRight_2-2018,Immigration,Canada,1
FarRight_2-2018,Immigration,Australia,1
FarRight_2-2018,Immigration,America,4
FarRight_2-2018,Immigration,Mexican,2
FarRight_2-2018,Immigration,Americans,1
FarRight_2-2018,Immigration,El Salvador,1
FarRight_2-2018,Anti-semitism,Christians,1
FarRight_2-2018,Anti-semitism,Jewish,5
FarRight_2-2018,Anti-semitism,New Israel Fund,1
FarRight_2-2018,Anti-semitism,Jews,11
FarRight_2-2018,Anti-semitism,Economic Justice,1
FarRight_2-2018,Anti-semitism,Jew,2
FarRight_2-2018,Anti-semitism,his,2
FarRight_2-2018,Anti-semitism,Orthodox,1
FarRight_2-2018,Anti-semitism,Facebook,1
FarRight_2-2018,Anti-semitism,Google,1
FarRight_2-2018,Anti-semitism,Twitter,1
FarRight_2-2018,Anti-semitism,American,1
FarRight_2-2018,Anti-semitism,Bible,1
FarRight_2-2018,Anti-semitism,America,1
FarRight_2-2018,Anti-semitism,Corbyn,2
FarRight_2-2018,Anti-semitism,Israel Policy Forum,1
FarRight_2-2018,Anti-semitism,New York,1
FarRight_2-2018,Anti-semitism,BDS,1
