Year,Entity,Frequency
FarRight_2-2016,Muhammad,1
FarRight_2-2016,author,1
FarRight_2-2016,Javier Zarracina,1
FarRight_2-2016,Nigeria,1
FarRight_2-2016,Amsterdam University,1
FarRight_2-2016,Nation of Islam,1
FarRight_2-2016,Haqqani Network,3
FarRight_2-2016,Isis,3
FarRight_2-2016,Muhammad Morsi,1
FarRight_2-2016,African-American,1
FarRight_2-2016,African American,4
FarRight_2-2016,candidate,1
FarRight_2-2016,Jewish,376
FarRight_2-2016,Jews,66
FarRight_2-2016,Post,1
FarRight_2-2016,anti-Semitic,20
FarRight_2-2016,Hitler,1
FarRight_2-2016,Christ,1
FarRight_2-2016,Indiana,1
FarRight_2-2016,She,1
FarRight_2-2016,Americans,8
FarRight_2-2016,U.S. Supreme Court,1
FarRight_2-2016,FCC,1
FarRight_2-2016,Congress,5
FarRight_2-2016,U.K. Labour Party,3
FarRight_2-2016,leader,7
FarRight_2-2016,Jeremy Corbyn,3
FarRight_2-2016,Israel,4
FarRight_2-2016,Greenblatt,6
FarRight_2-2016,Economic Justice,3
FarRight_2-2016,politician,3
FarRight_2-2016,Jew,12
FarRight_2-2016,Satanic,4
FarRight_2-2016,the Jewish state,2
FarRight_2-2016,Anti-Defamation League,1
FarRight_2-2016,Michigan,1
FarRight_2-2016,Rashida Tlaib,1
FarRight_2-2016,United Nations World Conference Against Racism,1
FarRight_2-2016,anti-American,1
FarRight_2-2016,Mayor,1
FarRight_2-2016,Eric Garcetti,1
FarRight_2-2016,Skid Row,1
FarRight_2-2016,chairman Rep.,1
FarRight_2-2016,Ted Deutch,1
FarRight_2-2016,Kenny Marchant,1
FarRight_2-2016,PSM,1
FarRight_2-2016,JUSSIE SMOLLETT,1
FarRight_2-2016,Corbyn,2
FarRight_2-2016,Israelis,2
FarRight_2-2016,Olympic Games,2
FarRight_2-2016,Prime Minister,2
FarRight_2-2016,Benjamin Netanyahu,2
FarRight_2-2016,Indonesia,1
FarRight_2-2016,Texas,1
FarRight_2-2016,Arab,1
FarRight_2-2016,French,16
FarRight_2-2016,Emmanuel Macron,2
FarRight_2-2016,France,1
FarRight_2-2016,Melissa Plotkin,1
FarRight_2-2016,spokeswoman,1
FarRight_2-2016,York Jewish Community Center,1
FarRight_2-2016,Kirsten Gillibrand,1
FarRight_2-2016,Brian Avery,2
FarRight_2-2016,anti-Russian,2
FarRight_2-2016,Sarsour,2
FarRight_2-2016,Maduro,1
FarRight_2-2016,James Petty,1
FarRight_2-2016,Democratic Party,1
FarRight_2-2016,Smollett,1
FarRight_2-2016,actor,1
FarRight_2-2016,the Jewish State,1
FarRight_2-2016,Red Ice Radio,1
FarRight_2-2016,NBC,2
FarRight_2-2016,Jewish Telegraphic Agency,2
FarRight_2-2016,Anti-Semitic,2
FarRight_2-2016,Ames Friedman,1
FarRight_2-2016,PR,1
FarRight_2-2016,New York,4
FarRight_2-2016,communications director,1
FarRight_2-2016,Jewish Community Relations Council of Minnesota,1
FarRight_2-2016,Lazaruses,3
FarRight_2-2016,independent,1
FarRight_2-2016,Peace,3
FarRight_2-2016,Massachusetts,6
FarRight_2-2016,Elizabeth Warren,6
FarRight_2-2016,IPL,3
FarRight_2-2016,AVEO Pharma,3
FarRight_2-2016,NDA,3
FarRight_2-2016,Teva,3
FarRight_2-2016,Mylan NV,3
FarRight_2-2016,Jonas Jerebko,4
FarRight_2-2016,Celine,4
FarRight_2-2016,Envoy,2
FarRight_2-2016,Zalmay Khalilzad,2
FarRight_2-2016,presenter,2
FarRight_2-2016,Twitter,2
FarRight_2-2016,The Times,2
FarRight_2-2016,Japan,4
FarRight_2-2016,Steven Murdoch,2
FarRight_2-2016,architect,2
FarRight_2-2016,specialist,2
FarRight_2-2016,Ashkenazi Jews,2
FarRight_2-2016,Inspire Medical Systems Inc.,2
FarRight_2-2016,Chevron,2
