Immigration,,
,Right,,
,,Americans,5
,,Obama,4
,,German,4
,,Muslim,4
,,Customs Enforcement,4
,Center,,
,,Australian,2
,,Border Wall,2
,,Mexican,2
,,Rustam,2
,,Judge,2
,Left,,
,,Iran,1
,,intra-European,1
,,Citizenship Amendment Act,1
Islamophobia,,
,Right,,
,,Islamists,6
,,Sunni,5
,,Obama,2
,,French,2
,,Ariens,2
,Center,,
,,Shia,2
,,Pope Francis,2
,,Myanmar,2
,,Rohingya,2
,,She,2
,Left,,
,,Serbs,1
Anti-semitism,,
,Right,,
,,Jews,65
,,Judaism,5
,,Christians,4
,,politician,4
,,France,3
,Center,,
,,GOP,2
,,Omar,2
,,Ilhan Omar,2
,,Israeli,2
,,Americans,2
,Left,,
Transphobia,,
,Right,,
,,Californians,1
,,New Zealand,1
,,weightlifter,1
,,her,1
,,teacher,1
,Center,,
,Left,,
