Keyword,FR1,FS1
migrant,Dunja,Ferrera
immigrants,Immigrant rights advocates,Ferrera
immigrant,Immigrant rights advocates,Ferrera
migrants,too many,Ferrera
illegal immigrants,Immigrant rights advocates,less intelligence than dog
migration,Donald Trump,Donald Trump
immigration,Donald Trump,Donald Trump
refugees,admission,Syrian
refugee,admission,Syrian
jihad,civilians,
jihadi,civilians,
jihadist,civilians,
citizenship,given,season 2
transgender,Californians,mother
