Immigration,,
,Marginal,
,,Americans,5
,,German,4
,,Customs Enforcement,4
,,he,3
,,Norway,3
,Direct,
,,Nauru,2
,,Malaysians,1
,,United Nations Refugee Agency,1
,,Germanic,1
,,Iran,1
,Peripheral,
,,Victoria Morales,1
,,Guatemala,1
,,Castillo,1
Islamophobia,,
,Marginal,
,,Islamists,6
,,Sunni,5
,,Obama,2
,,French,2
,,Ariens,2
,Direct,
,,Shia,1
,,Pope Francis,1
,,Myanmar,1
,,Rohingya,1
,,She,1
,Peripheral,
Anti-semitism,,
,Marginal,
,,Jews,65
,,Judaism,5
,,Christians,4
,,politician,4
,,France,3
,Direct,
,Peripheral,
,,GOP,1
,,Omar,1
,,Ilhan Omar,1
,,Israeli,1
,,Americans,1
Transphobia,,
,Marginal,
,,Californians,1
,,New Zealand,1
,,weightlifter,1
,,her,1
,,teacher,1
,Direct,
,Peripheral,
