Top Pusher By Year: no_sent/cosine_97/20
Topic,Absolute,Relative
FarRight_2-2016,Breitbart,centerforsecuritypolicy.org
FarRight_2-2017,Breitbart,thefederalistpapers.org
FarRight_2-2018,Breitbart,freedomforce.com
FarRight_2-2019,CIS,rightsidenews.com
