Top Pusher By Topic: no_sent/cosine_97/20
Topic,Absolute,Relative
Immigration,Breitbart,freedomforce.com
Islamophobia,centerforsecuritypolicy.org,centerforsecuritypolicy.org
Anti-semitism,Breitbart,humansarefree.com
