Top Pusher By Year: no_sent/cosine_98/20
Topic,Absolute,Relative
FarRight_2-2016,Breitbart,American Free Press
FarRight_2-2018,Breitbart,freedomforce.com
FarRight_2-2019,Newsmax,townhall.com
