Pipeline,Internal Cohesion,Og to Direct,Og to Periph,Direct to Periph
High_0.2,0.6928571428571428,0.5416666666666666,0.734375,0.5384615384615384
High_0.3,0.8166666666666667,0.95,0.5714285714285714,0.6071428571428571
Low_0.2,0.6330275229357798,0.6544117647058824,0.3385416666666667,0.39166666666666666
Low_0.3,0.6972222222222223,0.6041666666666666,0.5029411764705882,0.5441176470588235
