"Top Puller By Year, Center: no_sent/cosine_98/20"
Year,Absolute,Relative
FarRight_2-2016,Press TV,Newsday
FarRight_2-2018,floridapolitics.com,floridapolitics.com
FarRight_2-2019,UPI,Inquisitr
